Region,Country,Population
Africa,Morocco,36828330
Africa,British Indian Ocean Territory,0
Africa,Tunisia,11972169
Africa,South Africa,63100945
Africa,Guinea,14363931
Africa,Western Sahara,600904
Africa,Rwanda,14104969
Africa,São Tomé and Príncipe,209607
Africa,Republic of the Congo,6142180
Africa,Mozambique,34090466
Africa,Eswatini,1235549
Africa,Guinea-Bissau,1781308
Africa,Angola,36170961
Africa,Seychelles,122729
Africa,Mali,22395489
Africa,Ivory Coast,31719275
Africa,Chad,19340757
Antarctic,South Georgia,0
Antarctic,Antarctica,1300
Antarctic,Heard Island and McDonald Islands,0
Antarctic,French Southern and Antarctic Lands,400
Antarctic,Bouvet Island,0
